7.48933032	15.76307123	9.570906348	7.616870958	95.17323211	208.8761139
8.747646321	19.0509928	11.62623379	9.244722296	121.1736131	253.974451
9.966697551	22.34045436	13.69106336	10.87844381	148.0206564	299.3209935
11.16649078	25.65455461	15.77747467	12.52798199	175.6681626	345.1723684
12.49798179	29.33324747	18.09400426	14.35909239	206.3798023	396.0865833
14.03169234	33.60539855	20.78677042	16.48722261	241.2019911	452.7501783
15.80572316	38.62190893	23.95411392	18.98960966	281.2979447	516.4611447
17.83006868	44.34645565	27.56851572	21.8451976	325.809353	586.5423661
20.18938995	51.14501318	31.87003242	25.24230217	377.5989783	665.8985706
22.88055005	58.91778894	36.7892012	29.1270088	435.3433988	753.5596582
25.97498281	67.92671239	42.49565486	33.63270174	499.6100897	851.290134
28.47446509	74.46306374	46.58486396	36.86905968	547.6858314	933.2068237
30.97394737	80.99941509	50.67407307	40.10541763	595.7615732	1015.123513
33.47342965	87.53576644	54.76328218	43.34177557	643.837315	1097.040203
36.85321412	96.37418028	60.29268543	47.71795876	708.8450354	1207.807444
40.23299858	105.2125941	65.82208867	52.09414194	773.8527559	1318.574684
43.61278305	114.051008	71.35149192	56.47032512	838.8604763	1429.341925
46.99256752	122.8894218	76.88089516	60.8465083	903.8681967	1540.109166
50.37235198	131.7278356	82.4102984	65.22269149	968.8759172	1650.876406
