scenario,fips,pr_pipc_2015,pr_pipc_2020,pr_pipc_2025,pr_pipc_2030,pr_pipc_2035,pr_pipc_2040,pr_pipc_2045,pr_pipc_2050,pr_pipc_2055,pr_pipc_2060,pr_pipc_2065,pr_pipc_2070
SSP3,47149,34.341,36.759,39.032,41.587,44.187,46.955,49.444,52.353,54.952,58.112,60.894,63.507
SSP3,47151,25.969,28.112,30.165,32.547,35.004,37.644,40.011,42.805,45.295,48.352,51.038,53.554
SSP3,47153,31.980,34.055,36.134,38.605,41.183,43.962,46.475,49.417,52.052,55.250,58.073,60.720
SSP3,47155,33.657,35.899,38.076,40.589,43.180,45.957,48.461,51.390,54.011,57.193,59.999,62.632
SSP3,47157,41.727,44.079,46.380,49.019,51.721,54.593,57.203,60.233,62.959,66.247,69.142,71.873
SSP3,47159,32.193,34.464,36.642,39.148,41.725,44.481,46.961,49.864,52.458,55.615,58.397,61.005
SSP3,47161,33.821,35.510,37.268,39.462,41.793,44.346,46.649,49.394,51.843,54.865,57.521,60.009
SSP3,47163,36.079,38.276,40.407,42.880,45.433,48.170,50.636,53.527,56.112,59.262,62.035,64.638
SSP3,47165,37.775,40.068,42.294,44.855,47.493,50.314,52.863,55.836,58.498,61.721,64.566,67.238
SSP3,47167,35.264,37.431,39.588,42.123,44.761,47.600,50.172,53.172,55.863,59.112,61.987,64.685
SSP3,47169,36.413,38.353,40.357,42.807,45.393,48.196,50.741,53.721,56.395,59.634,62.497,65.184
SSP3,47171,32.779,34.952,37.072,39.543,42.100,44.844,47.315,50.213,52.803,55.957,58.736,61.341
SSP3,47173,27.551,29.602,31.610,33.978,36.439,39.098,41.489,44.313,46.832,49.919,52.636,55.182
SSP3,47175,29.116,31.203,33.273,35.717,38.259,40.996,43.465,46.361,48.952,52.108,54.889,57.497
SSP3,47177,28.824,30.998,33.046,35.401,37.818,40.411,42.729,45.474,47.915,50.926,53.566,56.038
SSP3,47179,36.123,38.299,40.431,42.923,45.502,48.271,50.769,53.694,56.311,59.492,62.295,64.926
SSP3,47181,25.126,27.197,29.163,31.454,33.819,36.369,38.647,41.357,43.765,46.744,49.355,51.800
SSP3,47183,31.505,33.633,35.702,38.119,40.620,43.309,45.727,48.572,51.112,54.218,56.951,59.512
SSP3,47185,27.447,29.656,31.736,34.121,36.566,39.187,41.532,44.303,46.769,49.804,52.468,54.962
SSP3,47187,58.739,61.483,64.276,67.473,70.771,74.256,77.457,81.064,84.338,88.147,91.555,94.766
SSP3,47189,39.501,41.861,44.158,46.790,49.498,52.393,55.014,58.058,60.790,64.078,66.990,69.726
SSP3,48001,28.415,30.360,32.252,34.503,36.848,39.387,41.664,44.375,46.787,49.773,52.389,54.840
SSP3,48003,38.701,40.452,42.322,44.661,47.150,49.866,52.331,55.234,57.836,61.006,63.802,66.426
SSP3,48005,34.064,36.185,38.257,40.682,43.192,45.891,48.321,51.178,53.731,56.849,59.593,62.167
SSP3,48007,41.343,43.223,45.219,47.681,50.290,53.122,55.699,58.710,61.415,64.683,67.573,70.286
SSP3,48009,44.396,46.195,48.152,50.605,53.221,56.067,58.662,61.693,64.419,67.708,70.619,73.351
SSP3,48011,44.528,46.177,48.117,50.624,53.334,56.294,59.012,62.168,65.019,68.430,71.458,74.304
SSP3,48013,31.102,32.865,34.663,36.876,39.221,41.801,44.136,46.919,49.406,52.463,55.162,57.696
SSP3,48015,38.993,41.124,43.254,45.775,48.402,51.236,53.805,56.806,59.500,62.755,65.641,68.352
SSP3,48017,33.340,35.521,37.602,40.004,42.474,45.122,47.494,50.291,52.782,55.840,58.526,61.041
SSP3,48019,37.039,38.964,40.893,43.212,45.649,48.311,50.720,53.572,56.124,59.241,61.999,64.588
SSP3,48021,30.366,32.406,34.358,36.639,39.002,41.570,43.880,46.632,49.087,52.112,54.783,57.294
SSP3,48023,35.908,38.139,40.320,42.855,45.473,48.275,50.800,53.748,56.385,59.584,62.405,65.050
SSP3,48025,27.382,29.150,30.876,32.975,35.177,37.580,39.726,42.312,44.603,47.474,49.980,52.326
SSP3,48027,39.348,41.011,42.739,44.900,47.195,49.715,51.996,54.724,57.162,60.176,62.825,65.317
SSP3,48029,37.024,38.885,40.724,42.921,45.188,47.630,49.841,52.489,54.856,57.805,60.357,62.778
